ID,ring,Type1
pto,1,V/A-type ATPase
vmo,1,V/A-type ATPase
bvu,1,V/A-type ATPase
osp,1,V/A-type ATPase
hje,1,V/A-type ATPase
ttj,1,V/A-type ATPase
mfs,1,V/A-type ATPase
llo,1,V/A-type ATPase
nwa,1,V/A-type ATPase
mfv,1,V/A-type ATPase
dbr,1,V/A-type ATPase
tsc,1,V/A-type ATPase
pai,1,V/A-type ATPase
clo,1,V/A-type ATPase
hal,1,V/A-type ATPase
elm,1,V/A-type ATPase
spn,1,V/A-type ATPase
sia,1,V/A-type ATPase
pcu,1,V/A-type ATPase
bfs,1,V/A-type ATPase
bfr,1,V/A-type ATPase
ade,1,V/A-type ATPase
tko,1,V/A-type ATPase
mse,1,V/A-type ATPase
nam,1,V/A-type ATPase
opr,1,V/A-type ATPase
noc,1,V/A-type ATPase
ssm,1,V/A-type ATPase
geb,1,V/A-type ATPase
sso,1,V/A-type ATPase
tbo,1,V/A-type ATPase
cst,1,V/A-type ATPase
tba,1,V/A-type ATPase
dpt,1,V/A-type ATPase
pbs,1,V/A-type ATPase
tra,1,V/A-type ATPase
bpo,1,V/A-type ATPase
baf,1,V/A-type ATPase
gur,1,V/A-type ATPase
shc,1,V/A-type ATPase
trq,1,V/A-type ATPase
cmu,1,V/A-type ATPase
mhu,1,V/A-type ATPase
btu,1,V/A-type ATPase
cfe,1,V/A-type ATPase
pmx,1,V/A-type ATPase
spz,1,V/A-type ATPase
tth,1,V/A-type ATPase
tvo,1,V/A-type ATPase
bth,1,V/A-type ATPase
hla,1,V/A-type ATPase
tmt,1,V/A-type ATPase
abi,1,V/A-type ATPase
sbu,1,V/A-type ATPase
mth,1,V/A-type ATPase
mvn,1,V/A-type ATPase
bdu,1,V/A-type ATPase
smf,1,V/A-type ATPase
neq,1,V/A-type ATPase
mmz,1,V/A-type ATPase
mel,1,V/A-type ATPase
mmp,1,V/A-type ATPase
tde,1,V/A-type ATPase
asc,1,V/A-type ATPase
nmg,1,V/A-type ATPase
mev,1,V/A-type ATPase
mmh,1,V/A-type ATPase
mma,1,V/A-type ATPase
bga,1,V/A-type ATPase
hbo,1,V/A-type ATPase
mvu,1,V/A-type ATPase
ctr,1,V/A-type ATPase
tsi,1,V/A-type ATPase
aco,1,V/A-type ATPase
sjj,1,V/A-type ATPase
cta,1,V/A-type ATPase
pdi,1,V/A-type ATPase
ctc,1,V/A-type ATPase
dra,1,V/A-type ATPase
cca,1,V/A-type ATPase
ctj,1,V/A-type ATPase
mvo,1,V/A-type ATPase
mbn,1,V/A-type ATPase
hvo,1,V/A-type ATPase
apr,1,V/A-type ATPase
nhl,1,V/A-type ATPase
mba,1,V/A-type ATPase
pgi,1,V/A-type ATPase
wch,1,V/A-type ATPase
brm,1,V/A-type ATPase
tga,1,V/A-type ATPase
iho,1,V/A-type ATPase
sgo,1,V/A-type ATPase
mbu,1,V/A-type ATPase
bre,1,V/A-type ATPase
soz,1,V/A-type ATPase
ape,1,V/A-type ATPase
mka,1,V/A-type ATPase
msv,1,V/A-type ATPase
mst,1,V/A-type ATPase
ton,1,V/A-type ATPase
rci,1,V/A-type ATPase
msi,1,V/A-type ATPase
eha,1,V/A-type ATPase
bbu,1,V/A-type ATPase
ral,1,V/A-type ATPase
sps,1,V/A-type ATPase
fnu,1,V/A-type ATPase
pfu,1,V/A-type ATPase
hma,1,V/A-type ATPase
sph,1,V/A-type ATPase
dth,1,V/A-type ATPase
tpa,1,V/A-type ATPase
slt,1,V/A-type ATPase
sto,1,V/A-type ATPase
dmr,1,V/A-type ATPase
tag,1,V/A-type ATPase
dmu,1,V/A-type ATPase
cab,1,V/A-type ATPase
spx,1,V/A-type ATPase
spy,1,V/A-type ATPase
sai,1,V/A-type ATPase
cba,1,V/A-type ATPase
cbf,1,V/A-type ATPase
bhl,1,V/A-type ATPase
cbk,1,V/A-type ATPase
cbh,1,V/A-type ATPase
cbi,1,V/A-type ATPase
cbo,1,V/A-type ATPase
ank,1,V/A-type ATPase
bhy,1,V/A-type ATPase
spi,1,V/A-type ATPase
spj,1,V/A-type ATPase
spk,1,V/A-type ATPase
spm,1,V/A-type ATPase
cbt,1,V/A-type ATPase
tac,1,V/A-type ATPase
spa,1,V/A-type ATPase
spb,1,V/A-type ATPase
bhr,1,V/A-type ATPase
tai,1,V/A-type ATPase
spf,1,V/A-type ATPase
spg,1,V/A-type ATPase
sis,1,V/A-type ATPase
cby,1,V/A-type ATPase
sna,1,V/A-type ATPase
tit,1,V/A-type ATPase
siy,1,V/A-type ATPase
mif,1,V/A-type ATPase
pab,1,V/A-type ATPase
csy,1,V/A-type ATPase
sid,1,V/A-type ATPase
afu,1,V/A-type ATPase
afw,1,V/A-type ATPase
sin,1,V/A-type ATPase
sim,1,V/A-type ATPase
pho,1,V/A-type ATPase
nph,1,V/A-type ATPase
dge,1,V/A-type ATPase
tpp,1,V/A-type ATPase
pgn,1,V/A-type ATPase
hwa,1,V/A-type ATPase
mac,1,V/A-type ATPase
pas,1,V/A-type ATPase
mae,1,V/A-type ATPase
cpj,1,V/A-type ATPase
mja,1,V/A-type ATPase
cpn,1,V/A-type ATPase
cpo,1,V/A-type ATPase
cpa,1,V/A-type ATPase
cpe,1,V/A-type ATPase
cpf,1,V/A-type ATPase
fsu,1,V/A-type ATPase
ddr,1,V/A-type ATPase
cpr,1,V/A-type ATPase
cpt,1,V/A-type ATPase
mrb,1,V/A-type ATPase
pto,2,V/A-type ATPase
vmo,2,V/A-type ATPase
bvu,2,V/A-type ATPase
osp,2,V/A-type ATPase
hje,2,V/A-type ATPase
ttj,2,V/A-type ATPase
mfs,2,V/A-type ATPase
llo,2,V/A-type ATPase
nwa,2,V/A-type ATPase
mfv,2,V/A-type ATPase
dbr,2,V/A-type ATPase
tsc,2,V/A-type ATPase
pai,2,V/A-type ATPase
clo,2,V/A-type ATPase
hal,2,V/A-type ATPase
elm,2,V/A-type ATPase
spn,2,V/A-type ATPase
sia,2,V/A-type ATPase
pcu,2,V/A-type ATPase
bfs,2,V/A-type ATPase
bfr,2,V/A-type ATPase
ade,2,V/A-type ATPase
tko,2,V/A-type ATPase
mse,2,V/A-type ATPase
nam,2,V/A-type ATPase
opr,2,V/A-type ATPase
noc,2,V/A-type ATPase
ssm,2,V/A-type ATPase
geb,2,V/A-type ATPase
sso,2,V/A-type ATPase
tbo,2,V/A-type ATPase
cst,2,V/A-type ATPase
tba,2,V/A-type ATPase
dpt,2,V/A-type ATPase
pbs,2,V/A-type ATPase
tra,2,V/A-type ATPase
bpo,2,V/A-type ATPase
baf,2,V/A-type ATPase
gur,2,V/A-type ATPase
shc,2,V/A-type ATPase
trq,2,V/A-type ATPase
cmu,2,V/A-type ATPase
mhu,2,V/A-type ATPase
btu,2,V/A-type ATPase
cfe,2,V/A-type ATPase
pmx,2,V/A-type ATPase
spz,2,V/A-type ATPase
tth,2,V/A-type ATPase
tvo,2,V/A-type ATPase
bth,2,V/A-type ATPase
hla,2,V/A-type ATPase
tmt,2,V/A-type ATPase
abi,2,V/A-type ATPase
sbu,2,V/A-type ATPase
mth,2,V/A-type ATPase
mvn,2,V/A-type ATPase
bdu,2,V/A-type ATPase
smf,2,V/A-type ATPase
neq,2,V/A-type ATPase
mmz,2,V/A-type ATPase
mel,2,V/A-type ATPase
mmp,2,V/A-type ATPase
tde,2,V/A-type ATPase
asc,2,V/A-type ATPase
nmg,2,V/A-type ATPase
mev,2,V/A-type ATPase
mmh,2,V/A-type ATPase
mma,2,V/A-type ATPase
bga,2,V/A-type ATPase
hbo,2,V/A-type ATPase
mvu,2,V/A-type ATPase
ctr,2,V/A-type ATPase
tsi,2,V/A-type ATPase
aco,2,V/A-type ATPase
sjj,2,V/A-type ATPase
cta,2,V/A-type ATPase
pdi,2,V/A-type ATPase
ctc,2,V/A-type ATPase
dra,2,V/A-type ATPase
cca,2,V/A-type ATPase
ctj,2,V/A-type ATPase
mvo,2,V/A-type ATPase
mbn,2,V/A-type ATPase
hvo,2,V/A-type ATPase
apr,2,V/A-type ATPase
nhl,2,V/A-type ATPase
mba,2,V/A-type ATPase
pgi,2,V/A-type ATPase
wch,2,V/A-type ATPase
brm,2,V/A-type ATPase
tga,2,V/A-type ATPase
iho,2,V/A-type ATPase
sgo,2,V/A-type ATPase
mbu,2,V/A-type ATPase
bre,2,V/A-type ATPase
soz,2,V/A-type ATPase
ape,2,V/A-type ATPase
mka,2,V/A-type ATPase
msv,2,V/A-type ATPase
mst,2,V/A-type ATPase
ton,2,V/A-type ATPase
rci,2,V/A-type ATPase
msi,2,V/A-type ATPase
eha,2,V/A-type ATPase
bbu,2,V/A-type ATPase
sps,2,V/A-type ATPase
fnu,2,V/A-type ATPase
pfu,2,V/A-type ATPase
hma,2,V/A-type ATPase
sph,2,V/A-type ATPase
dth,2,V/A-type ATPase
tpa,2,V/A-type ATPase
slt,2,V/A-type ATPase
sto,2,V/A-type ATPase
dmr,2,V/A-type ATPase
tag,2,V/A-type ATPase
dmu,2,V/A-type ATPase
cab,2,V/A-type ATPase
spx,2,V/A-type ATPase
spy,2,V/A-type ATPase
sai,2,V/A-type ATPase
cba,2,V/A-type ATPase
cbf,2,V/A-type ATPase
bhl,2,V/A-type ATPase
cbk,2,V/A-type ATPase
cbh,2,V/A-type ATPase
cbi,2,V/A-type ATPase
cbo,2,V/A-type ATPase
ank,2,V/A-type ATPase
bhy,2,V/A-type ATPase
spi,2,V/A-type ATPase
spj,2,V/A-type ATPase
spk,2,V/A-type ATPase
spm,2,V/A-type ATPase
cbt,2,V/A-type ATPase
tac,2,V/A-type ATPase
spa,2,V/A-type ATPase
spb,2,V/A-type ATPase
bhr,2,V/A-type ATPase
tai,2,V/A-type ATPase
spf,2,V/A-type ATPase
spg,2,V/A-type ATPase
sis,2,V/A-type ATPase
cby,2,V/A-type ATPase
sna,2,V/A-type ATPase
tit,2,V/A-type ATPase
siy,2,V/A-type ATPase
mif,2,V/A-type ATPase
pab,2,V/A-type ATPase
csy,2,V/A-type ATPase
sid,2,V/A-type ATPase
afu,2,V/A-type ATPase
afw,2,V/A-type ATPase
sin,2,V/A-type ATPase
sim,2,V/A-type ATPase
pho,2,V/A-type ATPase
nph,2,V/A-type ATPase
dge,2,V/A-type ATPase
tpp,2,V/A-type ATPase
pgn,2,V/A-type ATPase
hwa,2,V/A-type ATPase
mac,2,V/A-type ATPase
pas,2,V/A-type ATPase
mae,2,V/A-type ATPase
cpj,2,V/A-type ATPase
mja,2,V/A-type ATPase
cpn,2,V/A-type ATPase
cpo,2,V/A-type ATPase
cpa,2,V/A-type ATPase
cpe,2,V/A-type ATPase
cpf,2,V/A-type ATPase
fsu,2,V/A-type ATPase
ddr,2,V/A-type ATPase
cpr,2,V/A-type ATPase
cpt,2,V/A-type ATPase
mrb,2,V/A-type ATPase
pto,3,V/A-type ATPase
vmo,3,V/A-type ATPase
tko,3,V/A-type ATPase
hje,3,V/A-type ATPase
ttj,3,V/A-type ATPase
mfs,3,V/A-type ATPase
nwa,3,V/A-type ATPase
mfv,3,V/A-type ATPase
clo,3,V/A-type ATPase
hal,3,V/A-type ATPase
elm,3,V/A-type ATPase
tsc,3,V/A-type ATPase
ade,3,V/A-type ATPase
opr,3,V/A-type ATPase
noc,3,V/A-type ATPase
ssm,3,V/A-type ATPase
tbo,3,V/A-type ATPase
cst,3,V/A-type ATPase
tba,3,V/A-type ATPase
dpt,3,V/A-type ATPase
tra,3,V/A-type ATPase
tth,3,V/A-type ATPase
trq,3,V/A-type ATPase
mhu,3,V/A-type ATPase
afu,3,V/A-type ATPase
pmx,3,V/A-type ATPase
tvo,3,V/A-type ATPase
hla,3,V/A-type ATPase
tmt,3,V/A-type ATPase
abi,3,V/A-type ATPase
sbu,3,V/A-type ATPase
dmr,3,V/A-type ATPase
smf,3,V/A-type ATPase
mmz,3,V/A-type ATPase
mel,3,V/A-type ATPase
mmp,3,V/A-type ATPase
nmg,3,V/A-type ATPase
mev,3,V/A-type ATPase
mmh,3,V/A-type ATPase
mma,3,V/A-type ATPase
hbo,3,V/A-type ATPase
mvu,3,V/A-type ATPase
tsi,3,V/A-type ATPase
aco,3,V/A-type ATPase
sjj,3,V/A-type ATPase
ctc,3,V/A-type ATPase
dra,3,V/A-type ATPase
mvn,3,V/A-type ATPase
mvo,3,V/A-type ATPase
mbn,3,V/A-type ATPase
hvo,3,V/A-type ATPase
apr,3,V/A-type ATPase
nhl,3,V/A-type ATPase
mba,3,V/A-type ATPase
tga,3,V/A-type ATPase
sgo,3,V/A-type ATPase
mbu,3,V/A-type ATPase
soz,3,V/A-type ATPase
mka,3,V/A-type ATPase
msv,3,V/A-type ATPase
mst,3,V/A-type ATPase
ton,3,V/A-type ATPase
rci,3,V/A-type ATPase
msi,3,V/A-type ATPase
eha,3,V/A-type ATPase
ral,3,V/A-type ATPase
sps,3,V/A-type ATPase
fnu,3,V/A-type ATPase
pfu,3,V/A-type ATPase
hma,3,V/A-type ATPase
slt,3,V/A-type ATPase
mth,3,V/A-type ATPase
spx,3,V/A-type ATPase
spy,3,V/A-type ATPase
spz,3,V/A-type ATPase
cba,3,V/A-type ATPase
cbf,3,V/A-type ATPase
spn,3,V/A-type ATPase
cbk,3,V/A-type ATPase
cbh,3,V/A-type ATPase
cbi,3,V/A-type ATPase
cbo,3,V/A-type ATPase
ank,3,V/A-type ATPase
sph,3,V/A-type ATPase
spi,3,V/A-type ATPase
