ID,Abundance,Type2
ecp,0.5,acyl-CoA synth
ica,0.333333333333,acyl-CoA synth
bge,0.615384615385,acyl-CoA synth
bbi,0.166666666667,acyl-CoA synth
cab,0.416666666667,acyl-CoA synth
ate,0.333333333333,acyl-CoA synth
bpe,0.222222222222,acyl-CoA synth
eat,0.416666666667,acyl-CoA synth
bge,0.277777777778,acyl-CoA synth
bps,0.416666666667,acyl-CoA synth
sse,0.461538461538,acyl-CoA synth
ica,0.166666666667,acyl-CoA synth
pla,0.333333333333,acyl-CoA synth
mmi,1,acyl-CoA synth
bge,0.5,acyl-CoA synth
pae,0.666666666667,acyl-CoA synth
afe,0.615384615385,acyl-CoA synth
bpo,0.333333333333,acyl-CoA synth
eel,0.416666666667,acyl-CoA synth
mxa,0.5,acyl-CoA synth
sse,0.416666666667,acyl-CoA synth
rba,0.538461538462,acyl-CoA synth
aca,0.666666666667,acyl-CoA synth
aas,0.416666666667,acyl-CoA synth
rba,0.416666666667,acyl-CoA synth
lbl,0.666666666667,acyl-CoA synth
sgo,0.538461538462,acyl-CoA synth
lpc,0.277777777778,acyl-CoA synth
rba,0.5,acyl-CoA synth
cki,0.230769230769,acyl-CoA synth
lpf,0.666666666667,acyl-CoA synth
pao,0.5,acyl-CoA synth
eba,0.615384615385,acyl-CoA synth
ana,0.0555555555556,acyl-CoA synth
bhl,0.5,acyl-CoA synth
amc,0.666666666667,acyl-CoA synth
ana,0.538461538462,acyl-CoA synth
din,0.615384615385,acyl-CoA synth
pae,0.615384615385,acyl-CoA synth
sti,0.166666666667,acyl-CoA synth
ank,0.538461538462,acyl-CoA synth
vpe,0.666666666667,acyl-CoA synth
aas,0.5,acyl-CoA synth
aca,0.166666666667,acyl-CoA synth
aas,0.538461538462,acyl-CoA synth
mpa,0.307692307692,acyl-CoA synth
sae,0.538461538462,acyl-CoA synth
sae,0.111111111111,acyl-CoA synth
sgo,0.416666666667,acyl-CoA synth
cti,0.666666666667,acyl-CoA synth
bfa,0.230769230769,acyl-CoA synth
mea,0.615384615385,acyl-CoA synth
sau,0.5,acyl-CoA synth
hpb,0.333333333333,acyl-CoA synth
lpf,0.5,acyl-CoA synth
hpb,0.416666666667,acyl-CoA synth
cti,0.615384615385,acyl-CoA synth
amu,0.230769230769,acyl-CoA synth
smc,0.538461538462,acyl-CoA synth
pao,0.5,acyl-CoA synth
bll,0.166666666667,acyl-CoA synth
sae,0.5,acyl-CoA synth
ckl,0.333333333333,acyl-CoA synth
sag,0.333333333333,acyl-CoA synth
rah,0.277777777778,acyl-CoA synth
snt,0.416666666667,acyl-CoA synth
ssi,0.666666666667,acyl-CoA synth
afw,0.5,acyl-CoA synth
cni,0.416666666667,acyl-CoA synth
