ID,Phyla
pmh,Cyanobacteria
pma,Cyanobacteria
cyb,Cyanobacteria
syc,Cyanobacteria
cya,Cyanobacteria
tel,Cyanobacteria
sye,Cyanobacteria
syw,Cyanobacteria
syd,Cyanobacteria
ava,Cyanobacteria
gvi,Cyanobacteria
pmt,Cyanobacteria
ter,Cyanobacteria
ana,Cyanobacteria
npu,Cyanobacteria
syr,Cyanobacteria
pmi,Cyanobacteria
naz,Cyanobacteria
syg,Cyanobacteria
pmn,Cyanobacteria
pmm,Cyanobacteria
tma,Thermotogae
trq,Thermotogae
fno,Thermotogae
tpt,Thermotogae
tme,Thermotogae
kol,Thermotogae
mfl,Tenericutes
maa,Tenericutes
mpe,Tenericutes
mlc,Tenericutes
mfm,Tenericutes
mmy,Tenericutes
mpn,Tenericutes
mss,Tenericutes
mcd,Tenericutes
mha,Tenericutes
mge,Tenericutes
mho,Tenericutes
mhy,Tenericutes
mcp,Tenericutes
ayw,Tenericutes
mmo,Tenericutes
mhj,Tenericutes
mga,Tenericutes
uur,Tenericutes
mbv,Tenericutes
poy,Tenericutes
uue,Tenericutes
mpu,Tenericutes
msy,Tenericutes
pal,Tenericutes
mat,Tenericutes
mco,Tenericutes
msk,Tenericutes
pml,Tenericutes
mhp,Tenericutes
mrb,Thermi
tra,Thermi
msv,Thermi
dpt,Thermi
ttj,Thermi
dmr,Thermi
ddr,Thermi
dge,Thermi
opr,Thermi
dra,Thermi
tsc,Thermi
tth,Thermi
siy,Crenarchaeota
sso,Crenarchaeota
csy,Crenarchaeota
tag,Crenarchaeota
dmu,Crenarchaeota
iho,Crenarchaeota
syn,Crenarchaeota
sai,Crenarchaeota
syf,Crenarchaeota
pas,Crenarchaeota
rhi,Crenarchaeota
shc,Crenarchaeota
asc,Crenarchaeota
sto,Crenarchaeota
sid,Crenarchaeota
sia,Crenarchaeota
sis,Crenarchaeota
pai,Crenarchaeota
sim,Crenarchaeota
shm,Crenarchaeota
vmo,Crenarchaeota
ape,Crenarchaeota
gvg,Crenarchaeota
sin,Crenarchaeota
mse,Crenarchaeota
pto,Euryarchaeota
mbu,Euryarchaeota
ton,Euryarchaeota
mja,Euryarchaeota
mmz,Euryarchaeota
nph,Euryarchaeota
mka,Euryarchaeota
mma,Euryarchaeota
mac,Euryarchaeota
rci,Euryarchaeota
tvo,Euryarchaeota
mel,Euryarchaeota
tga,Euryarchaeota
hla,Euryarchaeota
hje,Euryarchaeota
tba,Euryarchaeota
mev,Euryarchaeota
mmh,Euryarchaeota
mvn,Euryarchaeota
abi,Euryarchaeota
pho,Euryarchaeota
mvu,Euryarchaeota
hma,Euryarchaeota
tsi,Euryarchaeota
mst,Euryarchaeota
mmp,Euryarchaeota
mif,Euryarchaeota
nmg,Euryarchaeota
mfs,Euryarchaeota
mvo,Euryarchaeota
msi,Euryarchaeota
mth,Euryarchaeota
mfv,Euryarchaeota
hbo,Euryarchaeota
mbn,Euryarchaeota
tac,Euryarchaeota
mba,Euryarchaeota
mhu,Euryarchaeota
mae,Euryarchaeota
hvo,Euryarchaeota
tko,Euryarchaeota
pab,Euryarchaeota
pfu,Euryarchaeota
afu,Euryarchaeota
hwa,Euryarchaeota
hal,Euryarchaeota
cac,Firmicutes
saw,Firmicutes
sae,Firmicutes
lla,Firmicutes
lam,Firmicutes
gym,Firmicutes
lsl,Firmicutes
bmq,Firmicutes
ser,Firmicutes
slg,Firmicutes
bce,Firmicutes
clj,Firmicutes
dsy,Firmicutes
lde,Firmicutes
lsa,Firmicutes
lre,Firmicutes
btb,Firmicutes
sth,Firmicutes
saa,Firmicutes
gya,Firmicutes
sac,Firmicutes
sep,Firmicutes
sjj,Firmicutes
ate,Firmicutes
cbf,Firmicutes
bse,Firmicutes
cbi,Firmicutes
ssi,Firmicutes
sps,Firmicutes
spn,Firmicutes
sca,Firmicutes
stl,Firmicutes
clo,Firmicutes
sar,Firmicutes
ooe,Firmicutes
sgo,Firmicutes
sao,Firmicutes
oih,Firmicutes
bbe,Firmicutes
spf,Firmicutes
lca,Firmicutes
nth,Firmicutes
lfe,Firmicutes
spz,Firmicutes
lmf,Firmicutes
sak,Firmicutes
sas,Firmicutes
bmd,Firmicutes
spp,Firmicutes
tbo,Firmicutes
lmo,Firmicutes
ckl,Firmicutes
tit,Firmicutes
bts,Firmicutes
sau,Firmicutes
chd,Firmicutes
sds,Firmicutes
lki,Firmicutes
bal,Firmicutes
smu,Firmicutes
lme,Firmicutes
bcx,Firmicutes
ssd,Firmicutes
spa,Firmicutes
bcz,Firmicutes
lin,Firmicutes
sss,Firmicutes
tmt,Firmicutes
gct,Firmicutes
spk,Firmicutes
lgs,Firmicutes
spy,Firmicutes
bld,Firmicutes
saj,Firmicutes
spr,Firmicutes
vpr,Firmicutes
sav,Firmicutes
