chr,start,end,value
chr1,10382554,26901963,0.374
chr1,26901963,30511288,0.084
chr1,30956226,33621691,0.89
chr1,35113388,36674459,0.988
chr1,36674459,47502070,-0.441
chr1,48540858,64361678,0.484
chr1,65550459,66334983,0.431
chr1,74813538,77752525,-0.121
chr1,80541551,81859886,-0.119
chr1,84079906,85120547,0.452
chr1,85291141,94792370,-0.646
chr1,95160076,108709613,-0.667
chr1,109285679,114859917,0.636
chr1,117313660,119014785,-0.432
chr1,123700754,125409230,-0.078
chr1,131156460,131169452,-0.051
chr1,134277731,136975627,-0.578
chr1,139844093,148713264,0.111
chr1,153913087,163728863,0.63
chr1,170222715,173286266,-1.067
chr1,184836064,185718332,-0.214
chr1,189215472,190784699,-0.509
chr1,195730588,197405794,0.365
chr1,197998204,200452740,-0.085
chr1,212178954,214983546,-0.27
chr1,221833224,241624927,-0.557
chr2,2129395,9774923,0.237
chr2,14718126,15320740,0.529
chr2,15892347,18168752,-0.862
chr2,24210072,26870490,0.644
chr2,32517685,38259940,-0.074
chr2,48441515,54690541,-0.408
chr2,57006782,63899375,0.677
chr2,72737106,72869924,0.8
chr2,74775247,83352843,-0.576
chr2,85071611,86824864,-0.814
chr2,92983201,101748572,0.32
chr2,103044683,108925043,0.034
chr2,109209533,110275634,-0.415
chr2,117780937,138600212,-0.99
chr2,138975235,142066119,-0.696
chr2,150953077,151025458,-0.819
chr2,160886740,161369940,0.029
chr2,164267753,165071506,-1.518
chr2,172329805,180474789,-0.19
chr2,182025908,182080457,0.177
chr2,215902954,219869869,-0.456
chr2,222747294,223087814,-0.551
chr2,225459896,225545592,0.365
chr2,227672764,235415820,-0.442
chr2,235575497,242746555,-0.339
chr3,472933,7160480,0.477
chr3,10972902,11789212,0.636
chr3,16098391,31244985,0.013
chr3,38228217,40488541,-0.526
chr3,46741005,47982976,-0.01
chr3,55398501,57716447,0.422
chr3,60019318,60923873,-0.447
chr3,61355054,78193848,-0.013
chr3,82784452,85804015,0.956
chr3,103235012,103600795,0.812
chr3,105022802,108342796,0.057
chr3,110598458,113841834,0.048
chr3,115180148,128918401,0.292
chr3,138056940,139174637,-0.177
chr3,151092948,152269392,-0.331
chr3,153964050,156467271,0.026
chr3,156785692,163621743,0.773
chr3,171304429,171481762,-0.277
chr3,176691839,177765688,-0.544
chr3,178670830,181240760,0.665
chr3,186771730,191261660,0.336
chr4,8617827,16885659,-0.831
chr4,18135416,25567929,0.239
chr4,28807109,32277018,0.289
chr4,37243872,48019885,-0.076
chr4,49521604,51177146,-1.098
chr4,54512792,67295240,0.72
chr4,67402717,75328063,-0.001
chr4,78706332,79416576,0.149
chr4,92007062,100685570,-0.593
chr4,102148805,105403307,0.482
chr4,113083992,114676513,-0.683
chr4,117569665,122741018,-0.744
