chr,start,end,value1
chr1,788538,5571920,0.309
chr1,6704086,10962288,-0.075
chr1,13517030,19064946,1.068
chr1,21370275,25642500,0.659
chr1,26160174,27950076,-0.688
chr1,29974329,36789688,0.44
chr1,41237941,41711824,-0.693
chr1,59721183,63206915,0.269
chr1,68988204,75362897,-0.015
chr1,80881254,83899791,-0.13
chr1,96353801,98813687,-0.386
chr1,98875283,107598107,0.049
chr1,107757379,112803155,0.647
chr1,113146330,120833487,-0.297
chr1,122537069,124402763,-0.234
chr1,128332903,129337459,0.267
chr1,132671342,133075698,-0.711
chr1,140424455,141106736,-0.398
chr1,142496982,143699683,-0.333
chr1,144426736,144952438,-0.629
chr1,151771639,158976933,-0.244
chr1,171592481,184518606,-0.273
chr1,184575203,191113337,0.5
chr1,222006170,226612172,-0.157
chr1,226694888,241918602,0.246
chr1,243820421,245501059,0.099
chr2,5331353,17190915,0.129
chr2,27214061,37578483,-0.796
chr2,42355838,46282474,0.1
chr2,48644977,52922668,-0.042
chr2,60573048,61426745,-0.284
chr2,61940555,72145241,0.575
chr2,78495677,78551412,-0.318
chr2,79856173,88879111,-0.321
chr2,90837897,91060003,-0.173
chr2,96183282,98726847,-0.845
chr2,103898255,104166273,0.039
chr2,116116758,117371554,-0.117
chr2,127604802,128719432,0.226
chr2,132371263,137034249,-0.1
chr2,137279969,147247259,-0.22
chr2,148972343,154332448,-1.091
chr2,163204427,167591200,0.656
chr2,175003713,181201399,0.514
chr2,183166674,186404507,-0.576
chr2,192409729,194413258,-0.753
chr2,196304341,197881716,-0.506
chr2,201273967,207228902,-0.238
chr2,207965824,213475416,-0.521
chr2,213794879,231725345,0.427
chr2,235990585,237045488,0.049
chr3,1424915,5127305,-0.413
chr3,10792280,11980906,-0.096
chr3,21147106,25872228,0.666
chr3,30936516,33724344,-0.462
chr3,36484373,43853696,0.112
chr3,44592321,52369799,-1.224
chr3,55661530,61811078,0.048
chr3,70409253,78555080,0.043
chr3,79582781,81260253,0.117
chr3,83592687,87527722,-0.391
chr3,90306185,101302606,0.105
chr3,109230010,114439768,-0.586
chr3,125092430,127859543,-0.206
chr3,131448296,135397873,-0.959
chr3,136781672,139977699,0.727
chr3,145451103,148643294,0.381
chr3,149287897,153746573,-0.868
chr3,159167617,163042422,-0.237
chr3,166435092,169519267,-1.06
chr3,177489296,181055266,0.397
chr3,182911687,187739026,-0.957
chr4,61966,10528434,-1.224
chr4,14526642,19266615,0.231
chr4,21916195,23248563,0.542
chr4,35383497,36498725,0.063
chr4,41507176,42357104,-0.409
chr4,43820148,48737085,0.441
chr4,50494184,60188769,-0.319
chr4,62096875,69809626,-0.117
chr4,73867961,76165248,-0.346
chr4,83820024,87526999,0.514
chr4,90299032,96273768,0.502
chr4,105077152,114783657,0.784
chr4,116899606,117595345,0.255
chr4,118461889,120127609,-0.203
chr4,146821241,147715591,0.043
chr4,148907464,154997155,0.338
chr4,157318606,164755118,-0.029
chr4,167296256,170583089,0.79
chr4,172473802,178079560,-0.939
chr4,180462563,189470639,0.194
chr5,8017381,9223928,0.529
chr5,10910761,17545145,0.039
chr5,19799057,30167908,-0.175
chr5,39972940,44099715,-0.303
chr5,45643870,47528087,-0.14
chr5,47587950,56928419,0.246
chr5,61896416,69193796,-0.532
chr5,69589480,75248618,-1.083
chr5,77514538,90323308,-0.462
chr5,92762206,97587734,0.247
chr5,102377308,109350603,-0.146
chr5,117124023,119165645,-0.078
chr5,120992702,121088024,0.35
chr5,124700981,130578083,0.511
chr5,137545777,142830254,-0.378
chr5,146689805,158685158,0.189
chr5,161498178,167628471,0.331
chr5,173776665,174413441,-0.002
chr5,175599046,178780840,0.058
chr6,2075289,14981007,0.544
chr6,15114029,27761732,0.587
chr6,29701971,37114200,0.276
chr6,40305039,41856071,-0.154
chr6,42386211,50266086,0.741
chr6,51315146,53829459,-0.1
chr6,54331318,54364187,-0.395
chr6,55732589,61149936,-0.283
chr6,65648169,69211442,0.112
chr6,73282890,74875876,0.975
chr6,82697521,93042896,-0.007
chr6,93703608,94264805,0.192
chr6,106214081,123635005,0.063
chr6,125329241,125865573,-0.155
chr6,137442944,138512269,-0.084
chr6,139501459,140256648,-0.588
chr6,146160107,151040217,0.266
chr6,166939485,169974864,-0.533
chr7,5193609,18370134,-0.61
chr7,20599320,26126425,0.497
chr7,28921739,29420644,-0.481
chr7,29685275,29979448,0.715
chr7,36542367,37539100,-0.017
chr7,38605672,39607849,0.442
chr7,40734578,58274911,0.203
chr7,59720083,61778224,0.445
chr7,61950182,71463843,-0.663
chr7,74727503,76415092,1.06
chr7,79392031,83360099,-0.456
chr7,86059899,91872280,0.08
chr7,93604214,93966758,0.326
chr7,94312892,98088097,0.034
chr7,99018847,99860425,-0.066
chr7,110122459,119201406,-0.383
chr7,128002639,133747039,0.436
chr8,11829580,14325791,-0.278
chr8,23288414,33937460,-0.068
chr8,40736808,45095224,0.286
chr8,50494903,50690787,-0.152
chr8,53017520,54118047,0.416
chr8,65460364,72541399,-0.113
chr8,74177303,82006378,0.4
chr8,90121862,91037127,-1.034
chr8,92011088,97305293,-0.114
chr8,105092585,106667115,0.294
chr8,110739779,118291570,-0.841
chr8,118849279,124705747,0.166
chr8,128074660,128507831,-0.761
chr8,129679769,133594276,0.122
chr8,140132487,141393726,-0.8
chr9,4020523,8842157,-0.317
chr9,18455183,18494699,-0.568
chr9,19204992,28532851,-1.131
chr9,29356750,35793856,0.284
chr9,41351584,42825610,-0.567
chr9,48317884,49421023,0.159
chr9,53692136,59782773,0.07
chr9,61565416,61589108,-0.181
chr9,65601415,70963019,0.278
chr9,78566260,85851866,0.635
chr9,85966034,90502669,-0.299
chr9,91885102,94446975,0.23
chr9,98013778,106724162,0.506
chr9,123786840,123948093,1.074
chr9,126272644,136145857,0.264
chr10,3651574,13057032,-0.095
chr10,19189026,28796739,0.309
chr10,32619660,33759646,-0.491
chr10,35571195,37830058,-0.42
chr10,42796348,45877415,0.041
chr10,60104682,61204330,-0.374
chr10,62977625,64934627,-0.028
chr10,68530799,71763953,-0.775
chr10,77589826,101930597,-1.252
chr10,102092782,102146499,0.613
chr10,102545750,103447314,-0.437
chr10,116683626,120758581,-0.076
chr10,124428092,125923882,0.124
chr10,127241516,132620277,0.349
chr11,53110,1923506,-0.025
chr11,10284610,15077288,0.371
chr11,16983100,22816068,-0.176
chr11,23525560,29306120,-0.14
chr11,30042852,33602489,0.398
chr11,33928344,42236504,0.061
chr11,44288752,45228452,0.245
chr11,53240132,63789656,-0.647
chr11,68843476,84362331,-0.182
chr11,85682712,95632275,-0.547
chr11,99125898,102208162,0.746
chr11,106316806,111033078,0.278
chr11,113257184,123299059,0.013
chr11,125794664,126369007,-0.731
chr12,8114952,8302068,0.851
chr12,10946348,13420723,0.105
chr12,13458936,22392601,-0.405
chr12,22883688,31487992,0.09
chr12,32060106,34626475,0.422
chr12,47228209,49464405,-0.156
chr12,49666518,54401965,0.236
chr12,58826109,63214650,-0.092
chr12,68954173,76990737,-0.386
chr12,77468094,79635163,-0.3
chr12,79668838,90256470,-0.113
chr12,90884465,92231829,-0.981
chr12,97340334,112292895,-0.292
chr12,113017659,113152835,0.497
chr13,5714727,6092179,-0.104
chr13,9493892,16409628,-0.993
chr13,18459883,18496242,0.892
chr13,24034111,26482708,-0.165
chr13,29766045,30405325,-0.92
chr13,36171852,43122862,-0.194
chr13,45270059,54569982,-0.072
chr13,55540395,60236013,-0.41
chr13,64011254,94804532,-0.546
chr13,96688719,105641044,-0.24
chr13,108241246,109589286,-0.098
chr13,111610712,111866087,0.139
chr14,721633,769101,-0.71
chr14,1267900,2575685,-0.593
chr14,5494095,10007556,0.572
chr14,11570588,18022470,-0.335
chr14,19168952,21745532,-0.711
chr14,26332559,33588995,0.041
chr14,39592778,46533328,0.705
chr14,56000317,61824759,0.732
chr14,69682649,71509422,-0.396
chr14,79815922,81626229,0.49
chr14,96960632,105865300,-0.845
chr15,2292611,4911536,0.178
chr15,8264872,18778314,-0.81
chr15,24262044,30517029,-0.052
chr15,32238561,36563817,-0.558
chr15,38281693,42132284,-0.193
chr15,52793796,56874876,0.165
chr15,63707798,68831628,-0.492
chr15,69275842,72092814,-0.296
chr15,78813418,81373846,-0.154
chr15,81807325,82225756,-0.373
chr15,97180260,98998392,0.07
chr16,10546673,17148275,0.717
chr16,22304842,22321669,0.552
chr16,27231813,41881365,-0.371
chr16,42202684,43433177,0.277
chr16,49463348,51346488,-0.152
chr16,54133186,56997026,0.483
chr16,61390794,63625234,-0.091
chr16,69080296,71751753,0.119
chr16,73944922,82045180,0.618
chr16,85783515,90194025,0.608
chr17,993782,11308212,-0.506
chr17,13817223,13833290,0.256
chr17,14907011,16101918,0.035
chr17,20342759,20872250,-0.715
chr17,29670311,37468841,-0.27
chr17,39236624,44037848,-0.238
chr17,44322600,48843236,0.649
chr17,66327170,68855844,-0.51
chr17,72660987,81015799,-0.521
chr18,5392978,7634555,0.349
chr18,11525266,24701536,0.31
chr18,32309374,46050194,0.005
chr18,47490957,55063135,0.136
chr18,58207526,58899915,1.086
chr18,60661660,61889643,-0.109
chr18,64209458,65626096,-0.437
chr18,67481705,69659398,0.751
chr19,6328064,10226657,-0.174
chr19,11027361,16856577,-0.873
chr19,36264117,39370925,-0.575
chr19,41083737,50330874,1.06
chr19,50827272,50974666,-0.839
chr19,55091921,55771161,0.871
chr20,254988,320304,-0.14
chr20,11226366,11890968,-0.738
chr20,13113958,16916425,0.49
chr20,21490224,31731689,-0.235
chr20,31906660,37230877,-0.364
chr20,37539886,50003063,-0.676
chr20,58473226,61540142,-0.539
chr21,2274838,5803346,0.061
chr21,6349062,15834720,-0.222
chr21,23021663,28142787,0.216
chr21,28721809,35971407,0.41
chr21,40367691,46870352,0.29
chr22,2964730,5640491,-0.587
chr22,15574989,17733607,0.297
chr22,17804459,18144540,1.075
chr22,18471598,25532908,-0.098
chr22,27742243,32606355,-0.612
chr22,49357184,51112188,-0.076
chrX,3573560,19084153,0.246
chrX,20116658,22341940,0.669
chrX,34675142,39915114,-0.685
chrX,51869463,66546046,0.354
chrX,67394309,69313351,-0.335
chrX,70638947,84271674,0.123
chrX,84502364,85409184,-0.195
chrX,89119046,94117166,0.478
chrX,95030566,99254661,0.267
chrX,105087486,114227228,-0.266
chrX,117680724,121005071,-1.005
chrX,121498902,124059839,-0.038
chrX,124866942,142580465,-0.221
chrX,142970936,143097981,-0.58
chrX,143332129,148413640,0.046
chrX,149980942,154954250,-0.103
chrY,1516150,2677871,-0.554
chrY,13636593,38393260,0.902
chrY,39384295,45972809,-0.497
chrY,51017527,53789645,-0.54
chrY,53795591,55386857,-0.316
chrY,56120137,58384755,-0.563
