chr,start,end,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
chr1,20621957,21209624,-0.672,-0.271,-0.001,0.486,-0.986,-0.37,0.48,0.38,0.158,0.108
chr1,42967726,53028972,-0.147,0.387,1.332,0.182,0.16,-0.132,0.234,-0.089,-0.918,0.397
chr1,58915991,65942365,-0.214,-0.059,-0.332,0.654,-0.402,-0.953,-0.046,0.449,-0.615,-0.07
chr1,67474486,70468059,-0.314,-0.67,0.24,-0.221,0.582,-0.536,-0.438,0.153,-0.14,0.242
chr1,70834716,93392812,0.372,-0.812,0.129,0.087,-1.307,0.846,-1.062,-0.653,0.345,0.315
chr1,98646692,105744994,-0.437,0.245,-0.422,0.273,-0.374,-0.522,-0.147,0.924,0.057,0.483
chr1,110109858,113819044,-0.264,-0.466,0.309,0.057,-0.118,0.829,0.709,-0.537,-0.625,-0.126
chr1,115732306,128645989,0.267,0.444,-0.629,-0.38,0.296,-0.496,0.425,-0.431,-0.576,0.006
chr1,159485418,165705329,0.117,-0.206,0.445,0.374,0.621,0.038,1.037,0.562,-0.636,0.424
chr1,170639925,207158920,-0.662,0.817,0.12,-1.231,-0.75,0.302,0.287,0.058,0.434,0.547
chr1,211177522,221180815,0.354,-0.324,0.086,0.514,0.395,0.494,-0.089,0.003,-0.655,-0.56
chr2,1946862,9867764,0.809,0.2,0.274,-0.162,1.404,-0.06,-0.258,0.278,-0.126,-0.763
chr2,16793624,32362421,0.111,0.445,0.01,0.389,-0.288,-0.227,0.632,-0.461,0.091,0.546
chr2,35793985,56362663,1.292,0.124,0.967,0.527,-0.183,-0.151,0.427,-0.444,-1.506,-0.238
chr2,57100510,62934372,-1.27,-0.553,-0.534,0.892,0.723,-0.418,0.178,-0.54,0.478,-0.537
chr2,75607671,76708807,0.171,-0.267,-0.259,-0.72,-0.201,0.548,0.057,-0.042,-0.188,-0.958
chr2,98746147,109221426,0.815,0.21,0.007,-0.07,-0.158,0.489,-0.017,0.168,-0.121,1.28
chr2,153518589,154622539,-1.102,-0.391,-0.754,-0.65,0.52,-0.196,0.331,0.439,-0.307,-0.36
chr2,189090727,191652199,1.128,-0.405,-0.049,0.506,-0.003,0.905,-0.612,-0.363,0.318,-0.186
chr2,203807321,224080536,0.426,-0.09,-1.061,0.356,-0.3,1.07,-0.103,-0.66,0.953,-0.383
chr2,229236849,234118300,0.061,0.679,-0.244,0.374,-0.114,-0.345,-0.568,-0.254,0.522,0.264
chr3,17138030,40796035,0.046,0.028,-0.691,-0.341,1.011,-0.242,-0.027,-0.273,0.276,-1.028
chr3,57219142,60650338,-0.514,0.429,0.29,-0.356,-0.025,0.537,-0.368,0.486,0.392,-0.085
chr3,81447694,85242511,-0.027,-0.159,0.718,0.266,-0.005,-0.542,0.105,0.55,-0.285,0.376
chr3,90470354,96592699,0.206,0.598,0.137,0.366,0.688,-0.208,0.513,-0.25,-0.612,-0.258
chr3,104153637,148077781,-1.129,0.361,0.795,0.475,-0.425,0.257,0.065,-0.378,-0.237,-0.055
chr3,160153088,170703309,0.444,0.667,0.412,-0.487,-0.318,-0.795,0.674,0.195,0.8,-0.016
chr3,171685857,177768610,0.13,-0.119,-0.494,-0.281,0.109,-0.623,-0.323,0.227,-0.604,-0.601
chr3,181669050,182098858,0.232,0.402,0.405,-0.671,-0.118,-0.275,0.222,0.277,-0.335,0.568
chr3,189857163,190338779,-0.146,-0.408,-0.287,0.357,0.173,0.317,-0.411,-0.748,0.95,-0.256
