chr,start,end,value1
chr1,1769292,1796134,0.339
chr1,4881594,5495466,1.005
chr1,9076857,21130138,-0.247
chr1,27279764,27941507,0.092
chr1,28351697,32840519,-0.677
chr1,35166605,38111246,0.344
chr1,40292931,41985400,0.305
chr1,45292238,48455065,0.39
chr1,53310920,59664194,-0.053
chr1,79176411,79317400,0.277
chr1,85531975,88126222,0.669
chr1,89183035,90158055,0.301
chr1,96801993,98085385,-0.947
chr1,100159477,105297002,-0.047
chr1,108939731,118217823,0.172
chr1,121996108,124081889,0.36
chr1,125781949,127903762,-0.444
chr1,136680850,147056798,-0.076
chr1,153493933,161364687,0.272
chr1,165179537,168710977,-0.439
chr1,169920959,183685019,0.455
chr1,183855350,191962189,0.301
chr1,204581126,211738039,0.459
chr1,214787908,225469517,-0.48
chr1,238342512,239213312,-0.124
chr1,246633978,248514622,0.174
chr2,5800619,8815540,0.088
chr2,10440452,10893876,-0.891
chr2,13344028,15484290,0.541
chr2,27281028,31116604,-0.345
chr2,34951004,48365683,-0.014
chr2,58896960,59391876,0.003
chr2,73557779,74452780,0.555
chr2,79352042,81631595,0.166
chr2,87692990,92313841,-0.478
chr2,93128500,94693099,0.169
chr2,99188634,99237967,0.105
chr2,101274718,105953782,-0.053
chr2,109056713,111905114,0.441
chr2,113531655,115105102,-0.087
chr2,131332999,136237323,0.405
chr2,148820988,158596944,-0.412
chr2,158954754,160585963,0.33
chr2,160955450,162169099,-0.041
chr2,177649992,179781181,0.189
chr2,181216838,183176883,-0.715
chr2,202881605,205915513,0.805
chr2,209547931,210542713,-0.096
chr2,215355750,220541652,0.275
chr2,223904723,227309110,0.54
chr2,231954973,238676824,-0.803
chr3,41265,7536287,-0.1
chr3,9209200,12874260,-0.032
chr3,20275423,21224983,0.025
chr3,24576796,27383356,1.012
chr3,32823149,34412781,-0.017
chr3,36448788,36687435,0.766
chr3,41936936,52261908,-0.113
chr3,62748057,68378106,0.709
chr3,77350792,81671448,0.818
chr3,82278378,91359593,0.148
chr3,96857441,99550879,-0.521
chr3,102259853,103249489,0.414
chr3,106508525,113577062,-0.407
chr3,120595816,125940422,0.435
chr3,141186269,156892184,-0.117
chr3,162717363,171927038,-0.025
chr3,173752572,179672179,-0.198
chr3,180057513,183955507,0.156
chr3,189545792,193303361,-0.267
chr3,194479124,195787419,0.376
chr3,195920470,196494524,0.338
chr4,3571886,7801048,-0.436
chr4,24973615,30857176,-0.106
chr4,31687134,34153866,0.596
chr4,37900591,43516257,-0.656
chr4,44079205,49009677,-0.583
chr4,49432362,56749993,0.265
chr4,61688309,65526097,0.848
chr4,67867297,77493244,0.613
chr4,81786770,82871005,0.072
chr4,83903968,101929504,-0.243
chr4,107359672,108126275,-0.335
chr4,109857325,110190433,0.333
chr4,113624692,114341882,-1.307
chr4,116193160,118847502,0.154
chr4,119645495,123312193,-0.274
chr4,144302578,147735873,-0.282
chr4,148648699,154037057,-0.549
chr4,159901876,160863881,-0.162
chr4,161026788,181261533,0.064
chr4,183489494,183702004,0.452
chr5,9838473,14661835,0.467
chr5,16026400,24506389,-0.212
chr5,33762291,36818170,0.864
chr5,38314173,40564712,0.135
