chr,start,end,value
chr1,1,6657591,0.034
chr1,9792529,20706145,-0.527
chr1,24807376,30831596,0.355
chr1,31003801,31338988,-0.425
chr1,33917405,51335905,0.216
chr1,55862806,63502192,-0.299
chr1,63626433,67033177,0.432
chr1,69911296,82503344,0.152
chr1,83219737,96007804,-0.165
chr1,98166788,106150912,-0.466
chr1,107451651,110663450,0.507
chr1,112244465,121650476,-0.425
chr1,122154000,130012057,0.863
chr1,131336003,137560121,-0.606
chr1,138050618,138211561,0.134
chr1,140462919,161837756,-0.519
chr1,163434426,172974436,0.887
chr1,176269718,177481726,0.14
chr1,178655220,181724878,0.784
chr1,182132688,186998630,-0.265
chr1,188683693,218454894,-0.564
chr1,220378439,230708109,0.548
chr1,231774146,236416479,-0.353
chr1,237536323,244551117,0.861
chr2,5914,28778613,-0.818
chr2,28933631,30683233,0.24
chr2,31828164,33172872,0.269
chr2,38444878,53075089,1.002
chr2,55184301,62265134,-0.245
chr2,64834015,75733233,0.31
chr2,76823581,89266251,0.554
chr2,91252699,97705207,-0.108
chr2,98733876,99136522,-0.199
chr2,100199154,113142894,0.616
chr2,115966279,116299437,0.171
chr2,117069088,137959740,0.43
chr2,138483508,151778793,-0.701
chr2,152083090,152376012,0.596
chr2,153625522,173920561,-0.358
chr2,175273588,181059988,0.337
chr2,182308794,186852872,1.117
chr2,187107444,194182787,-0.667
chr2,194769748,198776014,0.361
chr2,200151436,200175622,-0.028
chr2,201012209,205115235,0.404
chr2,206948244,211928065,0.497
chr2,213433739,215893657,0.961
chr2,216838318,222589983,0.328
chr3,651,27839332,-0.532
chr3,28591880,29683518,-0.156
chr3,30936974,42269422,-0.319
chr3,43088092,62079822,0.212
chr3,63104090,70433464,0.295
chr3,71436194,76821854,-0.315
chr3,79923655,81889136,0.355
chr3,82334408,96554728,0.008
chr3,98905779,116632018,0.179
chr3,117689810,118200471,-0.033
chr3,121960978,125568852,-0.492
chr3,126894342,135115619,0.143
chr3,137161833,139854748,0.151
chr3,141314878,147005528,0.152
chr3,153579502,158016580,-0.313
chr3,159206120,160886825,-0.231
chr3,161825855,167546516,-0.17
chr3,169553962,181978287,0.09
chr3,183512470,196987670,0.279
chr4,908,8856792,0.26
chr4,8923330,16541163,-0.192
chr4,18610146,25784735,-0.035
chr4,28688508,30754967,0.443
chr4,33147059,45317545,-0.885
chr4,48662573,74761958,0.097
chr4,75036146,80234241,0.27
chr4,81467092,100917830,0.196
chr4,103113946,105038617,-0.205
chr4,107907939,117404082,-0.477
chr4,119760088,122692166,-0.138
chr4,123608654,130277995,-0.536
chr4,135716931,139668197,-0.275
chr4,139719639,154760840,-0.279
chr4,156128535,156614493,0.62
chr4,161121834,163285736,0.284
chr4,165180681,167496227,0.171
chr4,168219427,173096500,0.34
chr4,174955073,181776096,0.695
chr5,407,16490429,0.281
chr5,17056645,32303717,0.485
chr5,33142343,38592327,-0.057
chr5,42297777,47303705,0.27
chr5,48948792,59297770,0.259
chr5,60189170,68113988,-0.235
chr5,72641500,74886382,-0.505
chr5,75652518,86831628,0.292
chr5,87331153,96097187,-0.989
chr5,96482389,103211144,0.066
chr5,107650943,107729501,0.914
chr5,110350764,111258975,0.913
chr5,114233954,125030404,0.209
chr5,128764363,132813859,0.248
chr5,133381114,144499452,-0.72
chr5,145325242,165650422,-0.433
chr5,167137058,173548159,0.642
chr5,174126053,180838777,0.847
chr6,30502,34310199,0.387
chr6,34612657,44930181,0.244
chr6,46381691,59816691,0.149
chr6,64060506,75725636,0.165
chr6,78372629,83466136,0.093
chr6,84572701,101290509,-0.729
chr6,101311413,101794019,-0.003
chr6,101805575,102762152,-0.036
chr6,110545590,114245865,-0.376
chr6,116141978,117390311,0.017
chr6,117955135,119040547,-0.151
chr6,120019724,128796206,-0.228
chr6,128963532,136293437,0.128
chr6,137967615,142881805,-0.449
chr6,143882631,157983326,-0.052
chr6,159835391,165522936,-0.73
chr6,167767467,169405865,0.7
